 ,Area,Mean,Min,Max,X,Y
1,0,139,139,139,195.000,372.000
2,0,113,113,113,299.500,455.500
3,0,133,133,133,350.500,338.500
4,0,193,193,193,476.500,446.500
5,0,181,181,181,590.500,356.500
6,0,160,160,160,812.500,356.500
7,0,142,142,142,1019.500,332.500
8,0,137,137,137,1193.500,314.500
9,0,169,169,169,1409.500,314.500
10,0,153,153,153,1589.500,296.500
11,0,128,128,128,1757.500,278.500
12,0,175,175,175,1904.500,248.500
13,0,151,151,151,2057.500,248.500
14,0,165,165,165,2225.500,239.500
15,0,148,148,148,2402.500,203.500
16,0,155,155,155,2468.500,539.500
17,0,155,155,155,2309.500,557.500
18,0,156,156,156,2486.500,431.500
19,0,164,164,164,2135.500,575.500
20,0,192,192,192,1973.500,596.500
21,0,183,183,183,1823.500,641.500
22,0,131,131,131,1661.500,551.500
23,0,122,122,122,1556.500,668.500
24,0,141,141,141,1388.500,677.500
25,0,130,130,130,1232.500,689.500
26,0,186,186,186,1046.500,695.500
27,0,215,215,215,890.500,728.500
28,0,190,190,190,686.500,734.500
29,0,142,142,142,473.500,773.500
30,0,200,200,200,497.500,659.500
31,0,166,166,166,284.500,692.500
32,0,177,177,177,278.500,797.500
33,0,98,98,98,83.500,797.500
34,0,121,121,121,293.500,1043.500
35,0,118,118,118,494.500,1031.500
36,0,181,181,181,656.500,1115.500
37,0,141,141,141,908.500,1061.500
38,0,175,175,175,1106.500,1016.500
39,0,182,182,182,1427.500,956.500
40,0,132,132,132,1622.500,947.500
41,0,168,168,168,1820.500,929.500
42,0,113,113,113,2036.500,902.500
43,0,108,108,108,2228.500,860.500
44,0,158,158,158,2441.500,839.500
45,0,177,177,177,2369.500,1181.500
46,0,144,144,144,2219.500,1208.500
47,0,168,168,168,2018.500,1268.500
48,0,139,139,139,1757.500,1295.500
49,0,95,95,95,1442.500,1313.500
50,0,176,176,176,1109.500,1346.500
51,0,119,119,119,908.500,1400.500
52,0,182,182,182,641.500,1430.500
53,0,185,185,185,374.500,1436.500
54,0,133,133,133,188.500,1502.500
55,0,161,161,161,440.500,1688.500
56,0,140,140,140,737.500,1664.500
57,0,147,147,147,1148.500,1622.500
58,0,205,205,205,1331.500,1628.500
59,0,116,116,116,1490.500,1625.500
60,0,94,94,94,1640.500,1586.500
61,0,149,149,149,1823.500,1565.500
62,0,206,206,206,2036.500,1544.500
63,0,205,205,205,2255.500,1502.500
64,0,161,161,161,2444.500,1463.500
65,0,158,158,158,2261.500,1607.500
